index;CD_MUNICIPIO_IBGE;Município;UF;Turno;Nome candidato;Partido;Cargo;Votos válidos;Votos nominais;ano;renda_pc;prop_ocupados_agropecuaria;prop_ocupados_comercio;prop_ocupados_construcao;prop_ocupados_servicos;prop_ocupados_transformacao;idhm;idhm_r
66823;2513109;SALGADO DE SÃO FÉLIX;PB;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;7372;0;2010.0;217.45;60.35;7.1;3.18;25.78;1.29;0.568;0.531
66824;4209151;JOSÉ BOITEUX;SC;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;3403;0;2010.0;580.97;42.66;6.12;3.6;19.9;24.59;0.694;0.689
66825;1507805;SENADOR JOSÉ PORFÍRIO;PA;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;9426;0;2010.0;219.97;58.56;4.89;2.63;20.74;3.74;0.514;0.533
66826;4208955;JARDINÓPOLIS;SC;1;SOFIA PADUA MANZANO;PCB;Presidente;1411;0;2010.0;654.02;51.36;9.83;6.01;23.84;7.95;0.709;0.708
66827;4208955;JARDINÓPOLIS;SC;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;1411;0;2010.0;654.02;51.36;9.83;6.01;23.84;7.95;0.709;0.708
66828;1507961;TERRA ALTA;PA;1;JOSE MARIA EYMAEL;DC;Presidente;8377;0;2010.0;252.51;42.51;9.3;5.79;29.13;3.38;0.605;0.555
66829;3529658;MESÓPOLIS;SP;1;SOFIA PADUA MANZANO;PCB;Presidente;1347;0;2010.0;530.46;49.31;5.51;5.06;33.09;4.35;0.724;0.674
66830;3529708;MIGUELÓPOLIS;SP;1;KELMON LUIS DA SILVA SOUZA;PTB;Presidente;11251;0;2010.0;670.82;15.49;13.89;4.7;41.05;20.04;0.741;0.712
66831;3529708;MIGUELÓPOLIS;SP;1;SOFIA PADUA MANZANO;PCB;Presidente;11251;0;2010.0;670.82;15.49;13.89;4.7;41.05;20.04;0.741;0.712
66832;3529807;MINEIROS DO TIETÊ;SP;1;JOSE MARIA EYMAEL;DC;Presidente;6709;0;2010.0;700.24;16.14;11.13;4.22;28.83;36.43;0.73;0.719
66833;4208955;JARDINÓPOLIS;SC;1;JOSE MARIA EYMAEL;DC;Presidente;1411;0;2010.0;654.02;51.36;9.83;6.01;23.84;7.95;0.709;0.708
66834;2301851;BANABUIÚ;CE;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;12095;0;2010.0;229.99;51.76;7.38;4.39;27.87;4.38;0.606;0.54
66835;2932507;UNA;BA;1;JOSE MARIA EYMAEL;DC;Presidente;11225;0;2010.0;303.78;53.01;7.69;3.17;27.92;3.75;0.56;0.584
66836;2513158;SANTA CECÍLIA;PB;1;SOFIA PADUA MANZANO;PCB;Presidente;5521;0;2010.0;197.49;59.43;5.57;3.76;15.9;6.32;0.525;0.515
66837;5003504;DOURADINA;MS;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;3984;0;2010.0;648.98;30.14;9.67;6.9;38.26;12.74;0.699;0.706
